in s,C1 in V
2.200029E+01,4.26270E-02
2.200077E+01,3.31543E-02
2.200125E+01,2.36816E-02
2.200173E+01,1.42090E-02
2.200221E+01,1.42090E-02
2.200269E+01,2.36816E-02
2.200317E+01,3.31543E-02
2.200365E+01,4.73633E-03
2.200413E+01,4.73633E-03
2.200461E+01,4.73633E-03
2.200509E+01,4.73633E-03
2.200557E+01,-4.73633E-03
2.200605E+01,1.42090E-02
2.200653E+01,4.26270E-02
2.200701E+01,3.31543E-02
2.200749E+01,1.42090E-02
2.200797E+01,4.73633E-03
2.200845E+01,4.73633E-03
2.200893E+01,1.42090E-02
2.200941E+01,3.31543E-02
2.200989E+01,3.31543E-02
2.201037E+01,-4.73633E-03
2.201085E+01,3.31543E-02
2.201133E+01,2.36816E-02
2.201181E+01,2.36816E-02
2.201229E+01,1.42090E-02
2.201277E+01,5.20996E-02
2.201325E+01,3.31543E-02
2.201373E+01,2.36816E-02
2.201421E+01,3.31543E-02
2.201469E+01,1.42090E-02
2.201517E+01,1.42090E-02
2.201565E+01,2.36816E-02
2.201613E+01,3.31543E-02
2.201661E+01,2.36816E-02
2.201709E+01,-4.73633E-03
2.201757E+01,1.42090E-02
2.201805E+01,1.42090E-02
2.201853E+01,4.73633E-03
2.201901E+01,2.36816E-02
2.201949E+01,3.31543E-02
2.201997E+01,2.36816E-02
2.202045E+01,3.31543E-02
2.202093E+01,1.42090E-02
2.202141E+01,1.42090E-02
2.202189E+01,3.31543E-02
2.202237E+01,2.36816E-02
2.202285E+01,3.31543E-02
2.202333E+01,4.26270E-02
2.202381E+01,1.42090E-02
2.202429E+01,4.73633E-03
2.202477E+01,4.73633E-03
2.202525E+01,4.73633E-03
2.202573E+01,1.42090E-02
2.202621E+01,-1.42090E-02
2.202669E+01,2.36816E-02
2.202717E+01,-4.73633E-03
2.202765E+01,3.31543E-02
2.202813E+01,4.26270E-02
2.202861E+01,4.73633E-03
2.202909E+01,2.36816E-02
2.202957E+01,4.73633E-03
2.203005E+01,4.73633E-03
2.203053E+01,1.42090E-02
2.203101E+01,2.36816E-02
2.203149E+01,4.73633E-03
2.203197E+01,1.42090E-02
2.203245E+01,2.36816E-02
2.203293E+01,2.36816E-02
2.203341E+01,-4.73633E-03
2.203389E+01,4.73633E-03
2.203437E+01,-4.73633E-03
2.203485E+01,4.73633E-03
2.203533E+01,1.42090E-02
2.203581E+01,1.42090E-02
2.203629E+01,1.42090E-02
2.203677E+01,2.36816E-02
2.203725E+01,2.36816E-02
2.203773E+01,4.73633E-03
2.203821E+01,1.42090E-02
2.203869E+01,3.31543E-02
2.203917E+01,3.31543E-02
2.203965E+01,2.36816E-02
2.204013E+01,2.36816E-02
2.204061E+01,2.36816E-02
2.204109E+01,3.31543E-02
2.204157E+01,4.73633E-03
2.204205E+01,4.73633E-03
2.204253E+01,1.42090E-02
2.204301E+01,1.42090E-02
2.204349E+01,4.73633E-03
2.204397E+01,4.73633E-03
2.204445E+01,4.73633E-03
2.204493E+01,2.36816E-02
2.204541E+01,4.73633E-03
2.204589E+01,4.73633E-03
2.204637E+01,2.36816E-02
2.204685E+01,3.31543E-02
2.204733E+01,5.20996E-02
2.204781E+01,2.36816E-02
2.204829E+01,1.42090E-02
2.204877E+01,1.42090E-02
2.204925E+01,3.31543E-02
2.204973E+01,2.36816E-02
2.205021E+01,1.42090E-02
2.205069E+01,5.20996E-02
2.205117E+01,3.31543E-02
2.205165E+01,2.36816E-02
2.205213E+01,2.36816E-02
2.205261E+01,2.36816E-02
2.205309E+01,1.42090E-02
2.205357E+01,3.31543E-02
2.205405E+01,2.36816E-02
2.205453E+01,4.73633E-03
2.205501E+01,1.42090E-02
2.205549E+01,-4.73633E-03
2.205597E+01,1.42090E-02
2.205645E+01,2.36816E-02
2.205693E+01,3.31543E-02
2.205741E+01,1.42090E-02
2.205789E+01,1.42090E-02
2.205837E+01,2.36816E-02
2.205885E+01,1.42090E-02
2.205933E+01,4.73633E-03
2.205981E+01,4.73633E-03
2.206029E+01,1.42090E-02
2.206077E+01,2.36816E-02
2.206125E+01,-4.73633E-03
2.206173E+01,1.42090E-02
2.206221E+01,1.42090E-02
2.206269E+01,1.42090E-02
2.206317E+01,2.36816E-02
2.206365E+01,3.31543E-02
2.206413E+01,4.73633E-03
2.206461E+01,2.36816E-02
2.206509E+01,4.73633E-03
2.206557E+01,2.36816E-02
2.206605E+01,3.31543E-02
2.206653E+01,3.31543E-02
2.206701E+01,4.73633E-03
2.206749E+01,4.26270E-02
2.206797E+01,1.42090E-02
2.206845E+01,2.36816E-02
2.206893E+01,2.36816E-02
2.206941E+01,5.20996E-02
2.206989E+01,1.42090E-02
2.207037E+01,2.36816E-02
2.207085E+01,3.31543E-02
2.207133E+01,2.36816E-02
2.207181E+01,3.31543E-02
2.207229E+01,3.31543E-02
2.207277E+01,2.36816E-02
2.207325E+01,-4.73633E-03
2.207373E+01,3.31543E-02
2.207421E+01,1.42090E-02
2.207469E+01,1.42090E-02
2.207517E+01,2.36816E-02
2.207565E+01,2.36816E-02
2.207613E+01,2.36816E-02
2.207661E+01,2.36816E-02
2.207709E+01,1.42090E-02
2.207757E+01,2.36816E-02
2.207805E+01,3.31543E-02
2.207853E+01,-4.73633E-03
2.207901E+01,3.31543E-02
2.207949E+01,1.42090E-02
2.207997E+01,3.31543E-02
2.208045E+01,1.42090E-02
2.208093E+01,3.31543E-02
2.208141E+01,2.36816E-02
2.208189E+01,1.42090E-02
2.208237E+01,4.26270E-02
2.208285E+01,1.42090E-02
2.208333E+01,-4.73633E-03
2.208381E+01,1.42090E-02
2.208429E+01,4.73633E-03
2.208477E+01,5.20996E-02
2.208525E+01,4.73633E-03
2.208573E+01,4.26270E-02
2.208621E+01,4.73633E-03
2.208669E+01,2.36816E-02
2.208717E+01,2.36816E-02
2.208765E+01,1.42090E-02
2.208813E+01,4.26270E-02
2.208861E+01,4.73633E-03
2.208909E+01,4.73633E-03
2.208957E+01,3.31543E-02
2.209005E+01,3.31543E-02
2.209053E+01,3.31543E-02
2.209101E+01,3.31543E-02
2.209149E+01,-4.73633E-03
2.209197E+01,1.42090E-02
2.209245E+01,4.73633E-03
2.209293E+01,2.36816E-02
2.209341E+01,4.73633E-03
2.209389E+01,3.31543E-02
2.209437E+01,2.36816E-02
2.209485E+01,1.42090E-02
2.209533E+01,1.42090E-02
2.209581E+01,1.42090E-02
2.209629E+01,2.36816E-02
2.209677E+01,4.73633E-03
2.209725E+01,2.36816E-02
2.209773E+01,2.36816E-02
2.209821E+01,4.73633E-03
2.209869E+01,4.26270E-02
2.209917E+01,1.42090E-02
2.209965E+01,-4.73633E-03
2.210013E+01,1.42090E-02
2.210061E+01,1.42090E-02
2.210109E+01,4.73633E-03
2.210157E+01,3.31543E-02
2.210205E+01,4.73633E-03
2.210253E+01,1.42090E-02
2.210301E+01,4.73633E-03
2.210349E+01,1.42090E-02
2.210397E+01,4.73633E-03
2.210445E+01,-4.73633E-03
2.210493E+01,-4.73633E-03
2.210541E+01,2.36816E-02
2.210589E+01,1.42090E-02
2.210637E+01,2.36816E-02
2.210685E+01,1.42090E-02
2.210733E+01,3.31543E-02
2.210781E+01,2.36816E-02
2.210829E+01,4.26270E-02
2.210877E+01,3.31543E-02
2.210925E+01,4.26270E-02
2.210973E+01,3.31543E-02
2.211021E+01,2.36816E-02
2.211069E+01,2.36816E-02
2.211117E+01,1.42090E-02
2.211165E+01,4.26270E-02
2.211213E+01,4.26270E-02
2.211261E+01,3.31543E-02
2.211309E+01,1.42090E-02
2.211357E+01,2.36816E-02
2.211405E+01,2.36816E-02
2.211453E+01,1.42090E-02
2.211501E+01,3.31543E-02
2.211549E+01,1.42090E-02
2.211597E+01,2.36816E-02
2.211645E+01,4.26270E-02
2.211693E+01,2.36816E-02
2.211741E+01,4.26270E-02
2.211789E+01,1.42090E-02
2.211837E+01,2.36816E-02
2.211885E+01,2.36816E-02
2.211933E+01,1.42090E-02
2.211981E+01,1.42090E-02
2.212029E+01,5.20996E-02
2.212077E+01,4.73633E-03
2.212125E+01,1.42090E-02
2.212173E+01,-4.73633E-03
2.212221E+01,4.26270E-02
2.212269E+01,1.42090E-02
2.212317E+01,1.42090E-02
2.212365E+01,1.42090E-02
2.212413E+01,2.36816E-02
2.212461E+01,2.36816E-02
2.212509E+01,3.31543E-02
2.212557E+01,2.36816E-02
2.212605E+01,3.31543E-02
2.212653E+01,-4.73633E-03
2.212701E+01,2.36816E-02
2.212749E+01,2.36816E-02
2.212797E+01,1.42090E-02
2.212845E+01,1.42090E-02
2.212893E+01,3.31543E-02
2.212941E+01,1.42090E-02
2.212989E+01,4.26270E-02
2.213037E+01,2.36816E-02
2.213085E+01,1.42090E-02
2.213133E+01,1.42090E-02
2.213181E+01,4.73633E-03
2.213229E+01,4.73633E-03
2.213277E+01,2.36816E-02
2.213325E+01,2.36816E-02
2.213373E+01,3.31543E-02
2.213421E+01,2.36816E-02
2.213469E+01,2.36816E-02
2.213517E+01,5.20996E-02
2.213565E+01,2.36816E-02
2.213613E+01,4.73633E-03
2.213661E+01,3.31543E-02
2.213709E+01,4.73633E-03
2.213757E+01,4.73633E-03
2.213805E+01,4.73633E-03
2.213853E+01,-1.42090E-02
2.213901E+01,2.36816E-02
2.213949E+01,4.73633E-03
2.213997E+01,2.36816E-02
2.214045E+01,4.73633E-03
2.214093E+01,3.31543E-02
2.214141E+01,1.42090E-02
2.214189E+01,3.31543E-02
2.214237E+01,5.20996E-02
2.214285E+01,2.36816E-02
2.214333E+01,4.73633E-03
2.214381E+01,1.42090E-02
2.214429E+01,3.31543E-02
2.214477E+01,1.42090E-02
2.214525E+01,1.42090E-02
2.214573E+01,4.26270E-02
2.214621E+01,2.36816E-02
2.214669E+01,4.73633E-03
2.214717E+01,5.20996E-02
2.214765E+01,3.31543E-02
2.214813E+01,1.42090E-02
2.214861E+01,3.31543E-02
2.214909E+01,2.36816E-02
2.214957E+01,4.73633E-03
2.215005E+01,1.42090E-02
2.215053E+01,2.36816E-02
2.215101E+01,1.42090E-02
2.215149E+01,-4.73633E-03
2.215197E+01,3.31543E-02
2.215245E+01,4.73633E-03
2.215293E+01,3.31543E-02
2.215341E+01,3.31543E-02
2.215389E+01,3.31543E-02
2.215437E+01,1.42090E-02
2.215485E+01,-4.73633E-03
2.215533E+01,3.31543E-02
2.215581E+01,2.36816E-02
2.215629E+01,4.73633E-03
2.215677E+01,2.36816E-02
2.215725E+01,1.42090E-02
2.215773E+01,4.73633E-03
2.215821E+01,3.31543E-02
2.215869E+01,1.42090E-02
2.215917E+01,4.26270E-02
2.215965E+01,4.26270E-02
2.216013E+01,3.31543E-02
2.216061E+01,1.42090E-02
2.216109E+01,3.31543E-02
2.216157E+01,2.36816E-02
2.216205E+01,-1.42090E-02
2.216253E+01,4.73633E-03
2.216301E+01,1.42090E-02
2.216349E+01,3.31543E-02
2.216397E+01,5.20996E-02
2.216445E+01,4.73633E-03
2.216493E+01,-4.73633E-03
2.216541E+01,3.31543E-02
2.216589E+01,1.42090E-02
2.216637E+01,1.42090E-02
2.216685E+01,2.36816E-02
2.216733E+01,-4.73633E-03
2.216781E+01,2.36816E-02
2.216829E+01,2.36816E-02
2.216877E+01,2.36816E-02
2.216925E+01,1.42090E-02
2.216973E+01,1.42090E-02
2.217021E+01,1.42090E-02
2.217069E+01,2.36816E-02
2.217117E+01,-4.73633E-03
2.217165E+01,3.31543E-02
2.217213E+01,2.36816E-02
2.217261E+01,2.36816E-02
2.217309E+01,-1.42090E-02
2.217357E+01,3.31543E-02
2.217405E+01,1.42090E-02
2.217453E+01,1.42090E-02
2.217501E+01,-4.73633E-03
2.217549E+01,2.36816E-02
2.217597E+01,-4.73633E-03
2.217645E+01,1.42090E-02
2.217693E+01,4.26270E-02
2.217741E+01,3.31543E-02
2.217789E+01,1.42090E-02
2.217837E+01,2.36816E-02
2.217885E+01,1.42090E-02
2.217933E+01,1.42090E-02
2.217981E+01,1.42090E-02
2.218029E+01,2.36816E-02
2.218077E+01,1.42090E-02
2.218125E+01,4.73633E-03
2.218173E+01,4.73633E-03
2.218221E+01,1.42090E-02
2.218269E+01,3.31543E-02
2.218317E+01,1.42090E-02
2.218365E+01,1.42090E-02
2.218413E+01,3.31543E-02
2.218461E+01,4.73633E-03
2.218509E+01,3.31543E-02
2.218557E+01,2.36816E-02
2.218605E+01,3.31543E-02
2.218653E+01,2.36816E-02
2.218701E+01,1.42090E-02
2.218749E+01,2.36816E-02
2.218797E+01,1.42090E-02
2.218845E+01,3.31543E-02
2.218893E+01,1.42090E-02
2.218941E+01,3.31543E-02
2.218989E+01,4.73633E-03
2.219037E+01,2.36816E-02
2.219085E+01,4.73633E-03
2.219133E+01,1.42090E-02
2.219181E+01,1.42090E-02
2.219229E+01,1.42090E-02
2.219277E+01,1.42090E-02
2.219325E+01,4.26270E-02
2.219373E+01,3.31543E-02
2.219421E+01,3.31543E-02
2.219469E+01,3.31543E-02
2.219517E+01,4.73633E-03
2.219565E+01,1.42090E-02
2.219613E+01,3.31543E-02
2.219661E+01,3.31543E-02
2.219709E+01,-4.73633E-03
2.219757E+01,2.36816E-02
2.219805E+01,2.36816E-02
2.219853E+01,4.73633E-03
2.219901E+01,1.42090E-02
2.219949E+01,3.31543E-02
2.219997E+01,4.73633E-03
2.220045E+01,1.42090E-02
2.220093E+01,4.73633E-03
2.220141E+01,3.31543E-02
2.220189E+01,3.31543E-02
2.220237E+01,2.36816E-02
2.220285E+01,4.73633E-03
2.220333E+01,3.31543E-02
2.220381E+01,2.36816E-02
2.220429E+01,1.42090E-02
2.220477E+01,3.31543E-02
2.220525E+01,4.73633E-03
2.220573E+01,4.73633E-03
2.220621E+01,1.42090E-02
2.220669E+01,3.31543E-02
2.220717E+01,4.73633E-03
2.220765E+01,2.36816E-02
2.220813E+01,1.42090E-02
2.220861E+01,3.31543E-02
2.220909E+01,4.73633E-03
2.220957E+01,2.36816E-02
2.221005E+01,1.42090E-02
2.221053E+01,4.73633E-03
2.221101E+01,-4.73633E-03
2.221149E+01,2.36816E-02
2.221197E+01,4.73633E-03
2.221245E+01,4.73633E-03
2.221293E+01,2.36816E-02
2.221341E+01,4.73633E-03
2.221389E+01,-4.73633E-03
2.221437E+01,1.42090E-02
2.221485E+01,4.26270E-02
2.221533E+01,3.31543E-02
2.221581E+01,4.73633E-03
2.221629E+01,2.36816E-02
2.221677E+01,2.36816E-02
2.221725E+01,2.36816E-02
2.221773E+01,3.31543E-02
2.221821E+01,3.31543E-02
2.221869E+01,4.26270E-02
2.221917E+01,2.36816E-02
2.221965E+01,4.73633E-03
2.222013E+01,4.26270E-02
2.222061E+01,3.31543E-02
2.222109E+01,4.73633E-03
2.222157E+01,1.42090E-02
2.222205E+01,3.31543E-02
2.222253E+01,4.73633E-03
2.222301E+01,1.42090E-02
2.222349E+01,2.36816E-02
2.222397E+01,4.26270E-02
2.222445E+01,4.73633E-03
2.222493E+01,2.36816E-02
2.222541E+01,4.73633E-03
2.222589E+01,2.36816E-02
2.222637E+01,3.31543E-02
2.222685E+01,1.42090E-02
2.222733E+01,3.31543E-02
2.222781E+01,1.42090E-02
2.222829E+01,4.26270E-02
2.222877E+01,2.36816E-02
2.222925E+01,4.73633E-03
2.222973E+01,4.73633E-03
2.223021E+01,3.31543E-02
2.223069E+01,1.42090E-02
2.223117E+01,4.73633E-03
2.223165E+01,2.36816E-02
2.223213E+01,3.31543E-02
2.223261E+01,4.73633E-03
2.223309E+01,2.36816E-02
2.223357E+01,4.73633E-03
2.223405E+01,3.31543E-02
2.223453E+01,2.36816E-02
2.223501E+01,-4.73633E-03
2.223549E+01,3.31543E-02
2.223597E+01,1.42090E-02
2.223645E+01,2.36816E-02
2.223693E+01,2.36816E-02
2.223741E+01,1.42090E-02
2.223789E+01,3.31543E-02
2.223837E+01,4.26270E-02
2.223885E+01,4.73633E-03
2.223933E+01,1.42090E-02
2.223981E+01,4.26270E-02
2.224029E+01,4.26270E-02
2.224077E+01,2.36816E-02
2.224125E+01,3.31543E-02
2.224173E+01,1.42090E-02
2.224221E+01,2.36816E-02
2.224269E+01,3.31543E-02
2.224317E+01,4.73633E-03
2.224365E+01,3.31543E-02
2.224413E+01,3.31543E-02
2.224461E+01,2.36816E-02
2.224509E+01,3.31543E-02
